Date,Smooth,Seasonal,Holidays,Week_number,Yday,Day
2010-01-04,0.0555272966962055,0.194414067458624,0.153304080351408,1,4,3
2010-01-11,0.0463747912125266,0.181066561677151,0,2,11,10
2010-01-18,0.0375204213168864,0.167651201451182,0,3,18,17
2010-01-25,0.0290573355032699,0.154247138952085,0,4,25,24
2010-02-01,0.0210786822656623,0.140933526351227,0,5,32,31
2010-02-08,0.0136776100980485,0.127789515819976,0,6,39,38
2010-02-15,0.00694726749441374,0.114894259529699,0,7,46,45
2010-02-22,0.000980802948742969,0.102326909651765,0,8,53,52
2010-03-01,-0.00412863504497869,0.0901477050034296,0,9,60,59
2010-03-08,-0.00829572516867726,0.0783127848270399,0,10,67,66
2010-03-15,-0.0115399940938021,0.0667426639599043,0,11,74,73
2010-03-22,-0.0139558323546149,0.0553578259971958,0,12,81,80
2010-03-29,-0.0156392467271964,0.0440787545340874,-0.126705129894656,13,88,87
2010-04-05,-0.0166862439876273,0.0328259331657523,0,14,95,94
2010-04-12,-0.0171928309119883,0.0215198454873634,0.126705129894656,15,102,101
2010-04-19,-0.0172550142763602,0.0100840813283535,0,16,109,108
2010-04-26,-0.0169688008568237,-0.00146668227623939,0,17,116,115
2010-05-03,-0.0164301974294596,-0.0130142130186363,-0.0744125555813417,18,123,122
2010-05-10,-0.015727239606032,-0.0244346658712977,0.0744125555813417,19,130,129
2010-05-17,-0.0148968772972371,-0.0356041958066841,0,20,137,136
2010-05-24,-0.0139559035308431,-0.046398957797256,0,21,144,143
2010-05-31,-0.0129210621606713,-0.056695106815474,-0.0866663402758187,22,151,150
2010-06-07,-0.0118090970405433,-0.0663687978359889,0.0866663402758187,23,158,157
2010-06-14,-0.0106367520242802,-0.0753016490019638,0,24,165,164
2010-06-21,-0.00942077096570366,-0.0833966495467299,0,25,172,171
2010-06-28,-0.00817789771863491,-0.0905620137218666,0,26,179,178
2010-07-05,-0.00692487397646864,-0.0967059557789532,0,27,186,185
2010-07-12,-0.00566735737041019,-0.101736689969569,0,28,193,192
2010-07-19,-0.00437411617760999,-0.105562430545293,0,29,200,199
